"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"DEPMUNI";"CIUDADES28";"CLASE";"P1987";"P1988";"P1988S1";"P1989";"P1990"
501433;235;1;1;1;108.419842080992;"13001";"1";"Cabecera";2;1;2;2;1
501434;235;1;1;1;94.5309979723164;"13001";"1";"Cabecera";2;1;2;2;1
501435;235;1;1;1;93.7852730617964;"13001";"1";"Cabecera";2;1;2;2;2
501436;235;1;1;1;91.9932802572068;"13001";"1";"Cabecera";2;1;2;2;1
501437;235;1;1;1;78.0483752102112;"13001";"1";"Cabecera";1;1;2;1;1
501438;235;1;1;1;97.6180605439801;"13001";"1";"Cabecera";1;1;2;2;1
501439;235;1;1;1;121.08080705161;"13001";"1";"Cabecera";2;1;2;2;1
501440;235;1;1;1;91.2032828452719;"13001";"1";"Cabecera";1;1;2;2;1
501441;235;1;1;1;102.094431267344;"13001";"1";"Cabecera";1;1;2;2;1
501442;235;1;1;1;81.9763935608329;"13001";"1";"Cabecera";2;1;2;2;1
501443;235;1;1;1;83.6382044566609;"13001";"1";"Cabecera";2;1;1;1;1
501444;235;1;1;1;84.5583837773573;"13001";"1";"Cabecera";1;1;1;2;1
501445;235;1;1;1;76.0046001595442;"13001";"1";"Cabecera";1;1;1;2;1
501446;235;1;1;1;80.6303654267357;"13001";"1";"Cabecera";1;1;1;1;1
501447;235;1;1;1;85.0467084913309;"13001";"1";"Cabecera";1;1;1;2;1
501448;235;1;1;1;102.027982509886;"13001";"1";"Cabecera";2;1;1;3;1
501449;235;1;1;1;85.0467084913309;"13001";"1";"Cabecera";1;1;1;3;1
501450;235;1;1;1;99.0241163368456;"13001";"1";"Cabecera";1;1;1;1;1
501451;235;1;1;1;91.9490077557919;"13001";"1";"Cabecera";1;1;1;3;1
501452;235;1;1;1;83.7449528586486;"13001";"1";"Cabecera";1;1;1;1;1
501453;235;1;1;1;369.623766804451;"00000";"1";"Cabecera";1;1;2;1;1
501454;235;1;1;1;545.539248128774;"00000";"1";"Cabecera";1;1;2;1;1
501455;235;1;1;1;449.254153868402;"00000";"1";"Cabecera";1;1;2;1;1
501456;235;1;1;1;637.689047074116;"00000";"1";"Cabecera";1;1;2;1;1
501458;235;1;1;1;789.481338433805;"00000";"1";"Cabecera";1;1;2;2;1
501459;235;1;1;1;312.721954909318;"00000";"1";"Cabecera";1;1;3;3;1
