"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P553";"P553S1";"P1379";"P1390S1";"P1390S2";"P1390S3";"P1390S5";"P1390S4";"P1389";"P1386";"P1385";"P1380S1";"P1380S2";"P1380S3";"P1380S5";"P1380S6";"P1367S1";"P1367S4";"P1367S5";"P1367S2";"P1367S3";"P554";"P555S1";"P555S2";"P555S7";"P555S3";"P555S4";"P555S5";"P555S6";"P555S8";"P555S9";"P555S10";"P555S11";"P1592S1";"P1592S2";"P1592S3";"P1592S4";"P1228";"P557";"P558";"P1119";"P1593";"P1591";"P1214";"P1368"
501461;237;1;1;1;894.60417250822;3;1;1;1;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;6;2
501501;237;1;1;1;108.237480267757;5;1;1;1;1;2;2;2;4;1;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
501529;237;1;1;1;218.298874152238;12;1;3;2;2;2;2;1;2;1;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;6;2
501557;237;1;1;1;445.192532273336;7;1;6;2;1;1;2;2;2;3;2;;;;;;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
501589;237;1;1;1;59.3520827172958;9;1;1;2;2;1;2;2;3;2;2;;;;;;2;2;2;2;1;1;1;2;2;1;1;2;2;2;2;2;2;2;1;2;2;1;2;2;4;1;;;2
501608;237;1;1;1;68.6868879163544;7;1;3;1;2;2;1;2;3;3;1;2;2;2;2;2;2;2;2;2;1;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
501649;237;1;1;1;106.82901045266;12;1;3;2;2;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
501652;237;1;1;1;92.0464413358518;11;1;4;2;2;1;2;2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;8;2
501669;237;1;1;1;112.086439336576;6;1;6;2;1;2;2;2;2;4;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
501912;237;1;1;1;118.132031388959;10;1;1;1;1;2;2;2;3;1;1;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
501947;237;1;1;1;67.9069245555448;7;1;6;2;2;2;1;2;2;1;1;2;2;2;2;2;2;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;1;2;2;1;;2
501989;237;1;1;1;107.690431000229;8;1;3;1;2;2;2;2;1;2;1;2;2;2;1;2;2;1;2;1;2;1;1;2;2;2;1;2;2;2;2;2;2;1;1;2;2;1;1;1;3;1;;;1
502011;237;1;1;1;179.998548708773;10;1;6;2;2;2;2;1;2;1;2;;;;;;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;2;2
502016;237;1;1;1;311.224381774972;12;1;1;2;1;1;2;2;5;1;1;1;1;2;2;2;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
502051;237;1;1;1;303.246265864708;8;1;6;2;2;2;2;1;2;1;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;6;2
502063;237;1;1;1;277.102869574299;4;1;6;2;1;2;2;2;1;1;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;5;1
502075;237;1;1;1;207.904017691836;3;1;3;2;1;2;2;2;1;3;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
502096;237;1;1;1;844.747281628374;11;1;1;1;2;2;2;2;3;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;;1;;;;2
502125;237;1;1;1;418.243778739179;2;1;6;1;2;1;2;2;4;4;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;6;2
502163;237;1;1;1;477.808410622278;6;1;3;1;1;2;2;2;3;1;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
502202;237;1;1;1;983.213617740569;12;1;6;1;1;2;1;2;6;3;2;;;;;;2;2;2;2;2;1;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;3;1;4;1;;;2
