"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P2069";"P2070";"P1962";"P1964S1";"P1964S2";"P1964S3";"P1964S4";"P1964S5";"P1964S6";"P1964S7";"P1964S8";"P1965";"P1966";"P2071";"P1967";"P1319S1";"P1319S2";"P1319S3";"P1319S5";"P1319S6";"P2072S1";"P2072S2";"P2072S3";"P2072S4";"P2073";"P560";"P2074";"P2075";"P1605";"P1606";"P2076";"P1968"
502011;237;1;1;1;179.998548708773;1;8;1;;;;;;1;;;3;1;1;2;;;;;;2;2;2;2;2;;;;;;2;2
502013;237;1;1;1;240.504303655795;1;3;1;;;;;;1;;;3;2;1;2;;;;;;2;2;2;2;2;;;;;;8;2
502285;237;1;1;1;46.7683637576399;2;5;1;1;;;;;;;;2;3;3;1;2;2;2;2;2;2;;2;1;2;;;;;;6;1
502286;237;1;1;1;46.1404021012572;1;6;1;;;;;;1;;;3;1;3;1;2;2;2;2;2;2;;2;1;1;3;1;5;1;;;1
502389;237;1;1;1;64.1592126843544;1;8;2;;;;;;1;;;3;2;2;2;;;;;;2;2;2;2;2;;;;;;6;2
502399;237;1;1;1;76.3098043940879;1;7;1;1;;;;;;;;9;6;4;1;2;2;2;2;2;2;1;2;2;1;2;2;4;1;;;2
503274;237;1;1;1;757.089865841034;1;12;1;;;;;;1;;;3;1;3;1;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
503391;237;1;1;1;1052.91606441854;1;10;2;;;;;;1;;;3;3;1;2;;;;;;2;2;2;2;2;;;;;;6;2
503532;237;1;1;1;57.3709807440932;1;12;1;;1;;;;;;;3;4;4;1;2;2;2;2;2;2;;2;2;2;;;;;;3;2
503987;237;1;1;1;717.404884373916;1;10;1;;;;;;1;;;3;1;4;2;;;;;;2;2;2;2;2;;;;;;1;2
504573;237;1;1;1;34.4330190330222;1;6;1;;;;;;1;;;3;1;1;2;;;;;;2;2;2;2;2;;;;;;3;2
504880;237;1;1;1;461.110714946746;1;7;1;;;;;;1;;;3;1;2;2;;;;;;2;2;2;2;2;;;;;;6;2
504929;237;1;1;1;201.918361822713;1;12;1;;;;;;1;;;3;1;1;2;;;;;;2;2;2;2;2;;;;;;3;2
504948;237;1;1;1;206.288782248023;1;6;1;;;;;;1;;;3;2;1;2;;;;;;2;2;2;2;2;;;;;;8;2
504974;237;1;1;1;160.89678390716;1;6;1;;;;;;1;;;3;2;1;2;;;;;;2;2;2;2;2;;;;;;6;2
505121;237;1;1;1;54.6907889573023;1;6;1;1;;;;;;;;3;6;4;2;;;;;;2;;2;2;2;;;;;;3;1
505127;237;1;1;1;618.07180939568;1;3;2;1;;;;;;;;3;4;4;2;;;;;;2;2;2;2;2;;;;;;3;2
506547;237;1;1;1;458.414266508469;1;3;1;;;;;;1;;;3;2;9;2;;;;;;2;2;2;2;2;;;;;;8;2
506759;237;1;1;1;66.2272290704835;1;2;2;;;;;;1;;;9;3;1;1;2;2;2;2;2;2;2;2;2;2;;;;;;4;2
507352;237;1;1;1;83.3454626334421;1;2;1;;;;;;1;;;3;2;9;1;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
508105;237;1;1;1;504.12410098922;1;10;1;;;;;;1;;;3;2;3;1;2;2;2;2;2;2;;2;2;2;;;;;;6;2
508635;237;1;1;1;2216.88435138975;1;8;1;1;;;;;;;;3;6;4;1;2;2;2;2;2;2;;2;2;2;;;;;;3;2
509661;237;1;1;1;53.2352428495451;1;8;1;;;;;;1;;;3;1;3;2;;;;;;2;2;2;2;2;;;;;;3;2
510205;237;1;1;1;1133.86822910481;1;8;1;;;;;;1;;;1;3;1;1;1;2;2;1;2;1;;2;2;2;;;;;;3;2
510206;237;1;1;1;725.687414536161;1;5;1;;;;;;1;;;1;3;9;2;;;;;;2;;2;2;2;;;;;;3;2
510950;237;1;1;1;1792.4269202397;2;4;1;;;;;;1;;;3;1;2;2;;;;;;2;;2;2;2;;;;;;3;2
511108;237;1;1;1;65.0324195379218;1;7;1;;;;;;1;;;3;1;3;2;;;;;;2;2;2;2;2;;;;;;1;2
511600;237;1;1;1;713.078304120995;1;12;2;1;;;;;;;;3;3;1;2;;;;;;2;2;2;2;2;;;;;;3;2
511604;237;1;1;1;698.923664467798;1;7;1;;;;;;1;;;3;5;4;1;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
512518;237;1;1;1;7.59995683932246;1;3;1;;;;;;1;;;3;2;3;2;;;;;;2;;2;2;2;;;;;;6;2
512526;237;1;1;1;9.51330967043758;1;5;1;;;;;;1;;;3;1;2;2;;;;;;2;;2;2;2;;;;;;6;2
512628;237;1;1;1;1977.11848624248;1;12;1;;;;;;1;;;3;1;2;2;;;;;;2;2;2;2;2;;;;;;8;2
