"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P566";"P1260";"P1263";"P1219S1";"P1219S2";"P1219S3";"P1219S4";"P1219S5";"P1219S6";"P1219S7";"P524";"P1252";"P1262";"P1253";"P1256";"P1247";"P1246S1";"P1246S2";"P1246S3";"P1246S5";"P1246S6";"P1232S1";"P1232S2";"P1232S3";"P1232S4";"P1232S5";"P1232S6";"P1232S7";"P1595";"P1238";"P571";"P572";"P573";"P1111";"P1596";"P1597";"P1110";"P1233"
501456;237;1;1;1;637.689047074116;2;1;1;;1;;;1;;;7e+05;3;2;2;1;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
501480;237;1;1;1;658.619738948366;7;1;1;;1;;;;;;650000;5;1;4;1;2;;;;;;2;2;1;2;2;1;;2;2;;;;;;;3;2
501480;237;2;1;2;658.619738948366;12;1;1;;1;;;;1;;5e+05;5;1;2;1;2;;;;;;2;2;1;2;2;2;;2;1;1;3;1;5;1;;;2
501537;237;3;1;3;781.94618410021;10;3;2;;;;;;;;2e+05;2;1;4;1;2;;;;;;;2;;2;2;;;1;2;;;;;;;4;2
501542;237;3;1;3;858.042588772404;2;2;2;;;;;;;;3500000;2;1;4;1;2;;;;;;;1;;2;2;;;1;1;1;1;1;2;1;;;2
501544;237;1;1;1;690.849274454828;7;3;2;;;;;;;;2e+05;4;1;2;1;2;;;;;;;1;;2;2;;;2;2;;;;;;;5;2
501552;237;2;1;2;493.281625364781;7;1;1;1;;;;;;;3e+06;5;1;1;2;1;2;2;2;2;2;2;2;1;2;2;2;;2;2;;;;;;;3;2
501588;237;2;1;2;59.3520827172958;3;3;2;;;;;;;;4e+05;2;1;2;1;1;1;2;2;2;2;;2;;2;2;;;2;2;;;;;;;5;2
501613;237;2;1;2;72.2217613127613;2;3;1;;;;;;;1;150000;6;1;1;2;2;;;;;;1;2;2;1;2;2;;1;1;1;2;2;2;1;;;2
501614;237;1;1;1;65.5124196497973;3;3;2;;;;;;;;3e+05;4;1;3;2;2;;;;;;;2;;2;2;;;2;2;;;;;;;3;2
501630;237;1;1;1;813.441580482161;6;1;1;;1;;;;;;98;3;1;4;2;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
501720;237;1;1;1;626.328286738519;12;1;1;;;;1;1;;;7e+05;5;1;1;2;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;6;2
501734;237;1;1;1;66.799822264439;2;1;1;;;;;1;;;1e+05;3;1;3;1;;;;;;;2;2;2;1;2;1;;2;2;;;;;;;5;2
501743;237;2;1;2;58.043701711774;3;3;2;;;;;;;;250000;4;1;9;7;2;;;;;;;2;;2;2;;;2;2;;;;;;;3;2
501810;237;1;1;1;284.056281405127;4;1;2;;;;;;;;6500000;4;1;1;1;2;;;;;;;2;;2;2;;;1;1;1;2;2;2;2;2;;2
501890;237;1;1;1;171.191661488682;3;2;2;;;;;;;;1e+07;5;1;3;1;2;;;;;;;2;;2;2;;;1;1;1;2;2;2;1;;;2
502009;237;2;1;2;277.102869574299;7;2;1;;;;;;;1;250000;5;1;4;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
502039;237;1;1;1;494.662867849918;6;2;1;;1;;;1;;;150000;5;1;2;2;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;6;2
502071;237;1;1;1;411.897886213762;2;1;1;;;;;;1;;5e+05;5;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;9;2
502081;237;1;1;1;290.174567719503;10;2;1;;1;;;;;;65000;3;1;3;1;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
502154;237;1;1;1;1097.33560353159;11;3;2;;;;;;;;150000;4;1;1;2;2;;;;;;;1;;2;2;;;2;2;;;;;;;1;2
502212;237;1;1;1;1027.54553794143;2;3;2;;;;;;;;1400000;2;1;4;1;1;1;2;2;2;2;;2;;1;2;;;1;2;;;;;;;1;2
502231;237;3;1;3;979.701751106594;5;3;2;;;;;;;;3500000;3;1;2;7;;;;;;;;2;;2;2;;;1;2;;;;;;;9;1
502233;237;1;1;1;1074.34513242502;3;3;2;;;;;;;;1200000;5;1;2;1;1;2;1;2;2;2;;2;;1;2;;;2;2;;;;;;;8;2
502250;237;1;1;1;1027.54553794143;9;3;2;;;;;;;;6e+05;2;1;4;1;2;;;;;;;1;;1;2;;;2;1;1;1;1;1;2;1;;2
502264;237;1;1;1;493.729895580247;4;3;2;;;;;;;;2e+05;4;1;3;1;2;;;;;;;1;;2;2;;;2;2;;;;;;;5;2
502282;237;2;1;2;1102.20329334312;8;1;1;;1;;;;;;5e+05;5;1;4;1;2;;;;;;2;2;1;1;2;1;;2;2;;;;;;;5;2
502396;237;6;1;6;66.7558956632246;7;3;2;;;;;;;;4e+05;1;1;3;1;2;;;;;;;2;;2;2;;;2;2;;;;;;;5;2
502399;237;1;1;1;76.3098043940879;8;1;1;;1;;1;;;;1500000;5;1;3;1;2;;;;;;2;2;2;1;1;1;;2;1;1;1;1;4;1;;;2
502411;237;1;1;1;70.8309385181232;7;3;2;;;;;;;;3e+05;6;1;2;2;2;;;;;;;1;;1;2;;;2;2;;;;;;;3;2
502517;237;5;1;5;140.369154611522;7;3;2;;;;;;;;1e+05;4;1;4;2;2;;;;;;;2;;2;2;;;2;2;;;;;;;3;2
502521;237;1;1;1;233.072478485928;2;1;1;;1;;;;;1;8e+05;5;1;1;1;2;;;;;;2;2;1;1;2;2;;2;2;;;;;;;3;2
502522;237;1;1;1;300.937279567722;5;1;2;;;;;;;;7e+07;4;1;3;3;2;;;;;;;2;;2;2;;;1;1;1;2;2;5;2;4;;2
502527;237;2;1;2;296.219297973669;4;3;2;;;;;;;;250000;5;1;4;2;2;;;;;;;2;;2;2;;;2;2;;;;;;;6;2
502527;237;4;1;4;296.219297973669;2;3;2;;;;;;;;60000;4;1;4;2;2;;;;;;;2;;2;2;;;2;2;;;;;;;5;2
502535;237;5;1;5;202.472785926248;8;3;2;;;;;;;;2e+05;5;1;3;1;2;;;;;;;2;;2;2;;;2;2;;;;;;;4;2
502606;237;1;1;1;463.810937737954;6;3;2;;;;;;;;3e+05;4;1;2;1;2;;;;;;;2;;2;2;;2;2;2;;;;;;;5;2
502698;237;1;1;1;39.2778408165973;10;3;2;;;;;;;;98;4;1;2;1;2;;;;;;;2;;2;2;;;1;1;1;2;2;1;2;1;;2
502716;237;1;1;1;41.5071225059594;10;1;1;;;;;;1;;4e+05;5;1;4;1;2;;;;;;2;1;1;2;2;1;;2;2;;;;;;;3;2
502718;237;1;1;1;41.8493963665184;6;3;2;;;;;;;;150000;2;1;3;1;2;;;;;;;2;;1;2;;;2;2;;;;;;;3;2
502731;237;1;1;1;1138.2567847072;4;2;2;;;;;;;;3950000;4;1;4;1;2;;;;;;;1;;2;2;;;2;2;;;;;;;3;2
502733;237;3;1;3;642.305258608252;12;2;2;;;;;;;;1.5e+07;4;1;2;2;2;;;;;;;2;;2;2;;;2;2;;;;;;;6;1
502749;237;4;1;4;66.8234946535406;3;2;1;;1;;;;;;40000;4;1;4;3;2;;;;;;2;2;2;2;2;1;;2;1;1;3;1;5;1;;;2
502820;237;4;2;1;84.0629511969126;12;3;2;;;;;;;;150000;4;1;1;1;2;;;;;;;1;;2;2;;;2;2;;;;;;;6;2
502836;237;1;1;1;80.7977246760442;11;1;1;;1;;;;;;1e+05;5;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;1;2
