"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P587";"P1313";"P1311";"P1308";"P588";"P1306";"P1226S1";"P1226S2";"P1225";"P1298";"P1297";"P1601";"P1294";"P589";"P590";"P1112";"P1602";"P1603";"P1227"
501462;237;3;1;3;1128.17291484458;"6";1;9;4;1;1;2;2;6;1;2;2;2;;;;;;8
501487;237;2;1;2;101.095348838445;"7";1;2;2;5;1;1;1;1;1;3;1;1;3;3;2;1;;
501504;237;1;1;1;91.2032828452719;"12";1;7;3;7;1;1;2;4;1;4;2;2;;;;;;8
501598;237;1;1;1;68.247255765681;"12";1;2;1;2;1;2;2;1;1;3;2;2;;;;;;6
501601;237;1;1;1;73.5749682782042;"4";1;6;4;1;2;;;6;1;2;2;2;;;;;;5
501649;237;2;1;2;106.82901045266;"1";1;7;4;1;2;;;6;1;4;2;2;;;;;;6
501650;237;3;1;3;71.4279973253233;"8";1;7;1;1;2;;;6;1;2;2;2;;;;;;5
501722;237;1;1;1;385.814205820052;"6";1;2;4;7;2;;;3;2;;1;1;1;1;4;2;1;
501769;237;1;1;1;313.503157894737;"3";1;5;4;1;1;1;2;6;2;;2;2;;;;;;3
501774;237;2;1;2;930.51226019584;"8";1;7;1;6;1;2;2;6;1;4;2;2;;;;;;5
501792;237;3;1;3;406.353981925937;"6";1;7;4;1;2;;;6;2;;2;2;;;;;;1
501812;237;1;1;1;43.9995259059486;"12";1;9;4;1;2;;;6;1;3;2;2;;;;;;6
502013;237;1;1;1;240.504303655795;"10";1;7;2;2;2;;;6;1;3;2;2;;;;;;6
502013;237;2;1;2;240.504303655795;"11";1;2;2;1;2;;;2;1;1;1;1;1;1;3;1;;
502111;237;3;1;3;411.722098296406;"11";1;9;4;1;1;1;2;6;1;5;2;2;;;;;;6
502219;237;2;1;2;1217.33350693806;"10";1;7;3;5;2;;;3;2;;2;2;;;;;;1
502312;237;3;1;3;63.0975638199174;"2";1;7;3;8;1;2;1;2;1;2;2;1;3;3;4;1;;
502312;237;6;1;6;63.0975638199174;"3";1;1;3;1;2;;;6;1;4;2;2;;;;;;5
502336;237;4;1;4;52.8486183464183;"12";1;7;1;6;2;;;6;1;4;2;2;;;;;;6
502361;237;2;1;2;73.5749682782042;"6";1;7;3;1;2;;;2;1;4;2;1;1;1;2;1;;
502375;237;3;1;3;72.3531419981524;"10";1;7;3;2;2;;;6;2;;2;2;;;;;;6
502448;237;2;1;2;124.441461837937;"10";1;7;3;1;2;;;6;1;3;1;2;;;;;;3
502449;237;3;1;3;68.6640087390428;"2";1;7;4;2;2;;;6;1;3;2;2;;;;;;6
502509;237;2;1;2;109.641958561891;"11";1;7;4;8;1;2;2;1;1;5;2;2;;;;;;2
502530;237;2;1;2;287.05736805217;"10";2;2;4;1;2;;;7;1;1;2;2;;;;;;5
502535;237;4;1;4;202.472785926248;"10";1;6;4;1;2;;;6;1;2;2;2;;;;;;6
502546;237;2;1;2;419.435268499406;"9";1;7;3;1;2;;;6;2;;2;2;;;;;;2
502592;237;1;1;1;224.302079223807;"3";1;6;4;2;2;;;3;2;;1;1;1;1;3;2;4;
502619;237;1;1;1;40.6982721628379;"11";1;2;4;2;2;;;6;1;3;1;2;;;;;;6
502619;237;3;1;3;40.6982721628379;"11";1;2;4;1;1;2;2;6;1;3;1;2;;;;;;6
502622;237;2;1;2;41.5025163792085;"12";1;7;4;1;2;;;3;1;2;2;2;;;;;;6
502641;237;1;1;1;40.1438525800024;"11";1;7;2;3;1;2;2;4;2;;2;2;;;;;;3
502641;237;2;1;2;40.1438525800024;"12";1;1;2;3;2;;;4;2;;2;2;;;;;;3
502717;237;1;1;1;46.7849494152571;"12";1;7;9;1;2;;;6;2;;2;2;;;;;;3
502720;237;1;1;1;892.348123331318;"11";1;7;4;1;1;2;2;6;1;4;2;2;;;;;;3
502773;237;2;1;2;69.1482660696977;"5";1;1;2;1;2;;;6;1;4;2;2;;;;;;6
502901;237;2;1;2;61.2240051708212;"12";1;9;4;1;2;;;6;1;2;2;2;;;;;;3
502921;237;4;1;4;748.957383231727;"5";1;3;4;1;2;;;6;1;4;2;2;;;;;;4
502922;237;2;1;2;640.68192980555;"6";1;7;4;2;2;;;6;1;3;1;2;;;;;;6
502983;237;2;1;2;523.780049197874;"2";1;7;1;2;2;;;6;1;2;2;2;;;;;;6
503091;237;2;1;2;45.5953290850389;"10";1;7;2;5;2;;;6;1;5;2;2;;;;;;6
503141;237;1;1;1;1341.37951681979;"10";1;7;4;1;2;;;6;1;3;2;2;;;;;;6
503189;237;2;1;2;115.864079401478;"10";1;7;2;6;2;;;6;1;3;2;2;;;;;;6
503275;237;2;1;2;652.522422363552;"11";1;2;4;1;1;2;2;2;1;3;2;1;1;1;3;2;1;
503496;237;1;1;1;58.1326721778212;"3";1;9;4;2;2;;;6;1;4;2;1;1;2;4;1;;
503518;237;1;1;1;485.16384180791;"9";1;2;2;7;1;2;1;2;1;3;2;1;3;3;4;2;3;
503529;237;4;1;4;63.0392390091454;"8";1;1;3;2;2;;;6;2;;2;2;;;;;;1
503543;237;3;1;3;45.3481502031107;"12";2;6;4;1;2;;;6;1;4;2;2;;;;;;6
503563;237;1;1;1;67.0598534904618;"10";1;2;1;7;2;;;2;1;2;1;1;1;1;4;2;3;
503578;237;1;1;1;68.247255765681;"1";2;7;4;1;2;;;6;2;;2;2;;;;;;7
503621;237;1;1;1;61.7437913948035;"8";1;2;3;1;2;;;2;1;3;1;2;;;;;;1
503621;237;3;1;3;61.7437913948035;"6";1;7;1;3;1;1;2;3;2;;1;2;;;;;;6
503621;237;4;1;4;61.7437913948035;"2";1;6;4;1;2;;;6;2;;2;2;;;;;;6
503689;237;1;1;1;99.7440917488006;"10";1;1;4;1;1;1;2;6;1;3;1;2;;;;;;3
503779;237;2;1;2;132.825231182095;"12";1;1;4;3;2;;;6;2;;2;2;;;;;;6
503858;237;1;1;1;298.85229499494;"12";1;4;1;1;2;;;6;2;;1;2;;;;;;6
503893;237;2;1;2;43.6589742825004;"4";1;7;3;1;2;;;6;1;4;2;2;;;;;;6
503893;237;3;1;3;43.6589742825004;"6";1;9;4;1;2;;;6;2;;2;2;;;;;;1
503912;237;1;1;1;83.6987927330367;"11";1;9;4;2;1;1;2;6;2;;2;2;;;;;;6
503924;237;1;1;1;44.7564398670461;"10";1;7;3;1;2;;;6;2;;2;2;;;;;;6
503925;237;1;1;1;44.2879523319654;"2";1;2;4;6;2;;;4;1;3;2;2;;;;;;3
503940;237;2;1;2;95.103066351894;"10";1;7;3;8;2;;;6;1;2;2;2;;;;;;5
503948;237;1;1;1;41.226423326696;"11";1;7;2;2;2;;;6;2;;2;2;;;;;;6
503965;237;3;1;3;40.6119014228626;"11";1;7;1;1;1;2;2;6;2;;2;2;;;;;;6
504017;237;3;1;3;67.4114421844254;"8";1;1;3;1;2;;;6;1;4;2;2;;;;;;6
504020;237;1;1;1;61.5502702167535;"2";1;7;4;1;1;1;1;6;1;3;2;1;3;3;3;1;;
504020;237;3;1;3;61.5502702167535;"10";1;7;4;1;2;;;6;2;;1;2;;;;;;3
504068;237;3;1;3;60.3606842799378;"11";1;1;1;1;2;;;6;2;;2;2;;;;;;6
504073;237;2;1;2;63.4469170139796;"3";1;7;3;3;2;;;6;1;3;2;2;;;;;;6
504122;237;1;1;1;63.7135895303972;"1";1;9;1;6;2;;;6;2;;2;2;;;;;;3
504148;237;1;1;1;61.974439075972;"9";1;7;2;1;2;;;6;2;;2;2;;;;;;6
504342;237;1;1;1;593.762062121202;"12";1;9;1;2;2;;;6;2;;2;2;;;;;;6
504391;237;1;1;1;302.704569734068;"10";1;2;3;1;2;;;2;1;3;1;2;;;;;;8
504397;237;3;1;3;282.976281611801;"2";1;2;1;1;2;;;6;1;3;2;2;;;;;;6
504428;237;1;1;1;338.192206872872;"11";1;2;3;1;2;;;7;1;1;2;2;;;;;;6
504574;237;2;1;2;45.5870823985281;"11";1;7;4;1;2;;;6;1;4;2;2;;;;;;6
504596;237;4;1;4;47.5351390501738;"7";1;7;4;6;2;;;6;1;4;2;2;;;;;;3
504622;237;3;1;3;48.1401299668934;"2";1;7;1;1;1;1;1;2;1;2;1;1;3;3;3;1;;
504820;237;1;1;1;182.406565690544;"12";1;7;3;1;2;;;6;1;4;2;2;;;;;;3
