"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P1607S1";"P1607S2";"P1607S3";"P1607S6";"P1607S4";"P1607S5";"P1283S1";"P1283S2";"P1283S3";"P1283S4";"P1283S5";"P1283S6";"P597";"P1197S1";"P1197S2";"P1197S3";"P1197S4";"P1197S5";"P1197S7";"P1197S6";"P1197S8";"P1196S1";"P1196S2";"P1196S3";"P1196S4";"P1196S5";"P1196S6";"P1196S8";"P1196S7";"P1196S9";"P598";"P599S3";"P599S4";"P599S5";"P1194S1";"P1194S2";"P1194S5";"P1194S3";"P1194S4";"P1194S6";"P1194S7";"P1193";"P1192";"P1955";"P529";"P1191";"P1187";"P600";"P1107";"P1608";"P1609";"P1106"
501456;237;1;1;1;637.689047074116;1;;;;;;1;;;;;;6;1;1;;1;1;;;;;1;;1;1;1;1;;;8;1;1;2;;1;;;;;;9;4;"2";2;;2;;;;;6
501464;237;1;1;1;720.930973478047;;;;;;2;1;;;;;;8;1;;;;;;;;;;;;;;;2;;;2;2;2;1;;;;;;;10;1;"1";2;;2;;;;;1
501477;237;1;1;1;762.374193104153;;;;;;2;1;;;;;;8;1;;;;;;;;;;;;;;;;3;;2;2;2;1;;;;;;;9;5;"1";2;;2;;;;;1
501541;237;2;1;2;657.19712580469;;;;1;;;1;;;;;;6;;;;;;;;2;;;;;;;;;3;;2;2;2;1;;;;;;;2;4;"2";2;;2;;;;;4
501584;237;1;1;1;553.896556177542;;;;1;;;1;;;;;;6;;1;;;;;;;;;;;;;;2;;;2;2;2;1;;;;;;;5;1;"1";2;;1;1;4;1;;
501621;237;2;1;2;59.3520827172958;1;;;;;;1;;;;;;1;1;;;;;;;;;;;;;;;2;;;2;2;2;1;1;;;;;;9;4;"1";2;;2;;;;;6
501624;237;3;1;3;65.1237832493948;;;;;;2;1;;;;;;8;;;1;;;;;;;;;;;;;2;;;2;2;2;1;;;;;;;9;4;"1";2;;2;;;;;6
501667;237;2;1;2;83.5410048188114;1;;;;;;;;;1;;;1;;;;;;;;2;;;;;;;;;3;;2;2;2;1;;;;;;;4;4;"2";2;;2;;;;;6
501685;237;1;1;1;39.5162734134292;;;;;;2;1;;;;;;8;;;;;;;;2;;;;;;;;2;;;2;2;2;1;;;;;;;8;4;"1";2;;2;;;;;6
501806;237;1;1;1;322.879028041788;;1;;;;;1;;;;;;3;1;;;;;;;;1;;;;;;;;;1;1;2;2;1;;;;;;;9;3;"2";2;;2;;;;;2
501844;237;2;1;2;34.6985327505451;;;;;;2;1;;;;;;4;1;;;;;;;;1;;;;;;;;;9;2;2;2;;1;;;;;;5;4;"1";2;;2;;;;;7
501847;237;1;1;1;30.4026152940052;;;;;;2;1;;;;;;6;1;;;;;;;;1;;;;;;;;;9;1;2;2;1;;;;;;;8;5;"2";2;;2;;;;;3
501913;237;1;1;1;170.733798419964;1;;;;;;;;1;;;;8;1;;;;;;;;1;1;;;;;;;;9;2;1;2;1;;;;;;;5;5;"2";2;;1;3;3;1;;
502071;237;1;1;1;411.897886213762;;1;;;;;1;;;;;;8;;1;;;;;;;1;;;;;;;;;9;2;1;2;1;;;;;;;10;4;"2";2;;2;;;;;10
502100;237;2;1;2;641.309417269331;;;;1;;;1;;;;;;3;;;;;;;;2;;;;;;;;2;;;2;2;2;1;;;;;;;6;1;"2";2;;2;;;;;6
502125;237;1;1;1;418.243778739179;1;;;;;;1;;;;;;2;1;;;;;;;;;1;;;;;;;;9;2;1;2;1;;;;;;;7;4;"2";1;7;1;3;2;2;3;
