name	link	lik_onedrive	file_id
01.datos de la vivienda	https://drive.google.com/file/d/1thP0le0KC8ix-f9Rpvg-isENzRQx9fyY/view?usp=sharing	https://planeacionnacional-my.sharepoint.com/personal/lguevara_dnp_gov_co/_layouts/15/download.aspx?UniqueId=199eac15%2D6584%2D4cb9%2Da849%2D553a17ed6e1c'	1thP0le0KC8ix-f9Rpvg-isENzRQx9fyY
02.percepcion de seguridad en el barrio o vereda y en el hogar	https://drive.google.com/file/d/1GzjGtHdZpBzmUWkAr35USt7OExUSBK5z/view?usp=sharing	https://planeacionnacional-my.sharepoint.com/:x:/g/personal/lguevara_dnp_gov_co/EbHK5u7KpmBEvKY0QAhEsjEBgjaz3xgcfynnZ2HBRZ9jPA?e=4EaydQ'	1GzjGtHdZpBzmUWkAr35USt7OExUSBK5z
03.percepcion de seguridad y convivencia	https://drive.google.com/file/d/1touQYmZoPKfK8yFs6c9h-IpCanD92dGT/view?usp=sharing	https://planeacionnacional-my.sharepoint.com/:x:/g/personal/lguevara_dnp_gov_co/EVJxYgZMznBGgzUhP5a-bh4BD3a57r_eSMrUoiUMh1v6cg?e=2N4tvV'	1touQYmZoPKfK8yFs6c9h-IpCanD92dGT
04.caracteristicas generales de las personas	https://drive.google.com/file/d/1bMe4_4vvLtkqa20U8qQki3OKeIS0wf02/view?usp=sharing	https://planeacionnacional-my.sharepoint.com/:x:/g/personal/lguevara_dnp_gov_co/ETcuEpRp3bFMn68cC4BnEIEBKI5gb0KgoGg7RwQjqwmnfA?e=fPGTaQ'	1bMe4_4vvLtkqa20U8qQki3OKeIS0wf02
05.filtro de delitos	https://drive.google.com/file/d/1ZbAVbe2_XWTgKJ69_Wc0rsfx3d4KLsi5/view?usp=sharing	https://planeacionnacional-my.sharepoint.com/:x:/g/personal/lguevara_dnp_gov_co/EdNI-jWox-9OgjOI2I2rX9wB3w0EnUqcVVXb8GtNcGKkYA?e=527jID'	1ZbAVbe2_XWTgKJ69_Wc0rsfx3d4KLsi5
06.hurto a residencia	https://drive.google.com/file/d/1QOa4YWokecsCOZvfZeFhwtBUb4CLDaBP/view?usp=sharing	https://planeacionnacional-my.sharepoint.com/:x:/g/personal/lguevara_dnp_gov_co/ERZWkEn9PcxDmIRFCg_JRdUBBg0-b7dPu_8drhEkN6c1MA?e=Chdz5l'	1QOa4YWokecsCOZvfZeFhwtBUb4CLDaBP
07.hurto de ganado, semovientes o aves de corral	https://drive.google.com/file/d/12OEjzninD7S87XXKf-ffrTLbtlO8dqKL/view?usp=sharing	https://planeacionnacional-my.sharepoint.com/:x:/g/personal/lguevara_dnp_gov_co/EWcH-z8NMaRDoDkj5h5G6BkBhuN1wg29Flk56dW6JCUuJQ?e=bSYNJZ'	12OEjzninD7S87XXKf-ffrTLbtlO8dqKL
08.hurto a vehiculos	https://drive.google.com/file/d/1bnoZGpkBDAEJ1gTmmsjVyWHsoqxAVQw4/view?usp=sharing	https://planeacionnacional-my.sharepoint.com/:x:/g/personal/lguevara_dnp_gov_co/EWabXYdZ7ZlPl26my5pGangB6jRq_K8Sw3CRq297xiiH7g?e=gX1rPd'	1bnoZGpkBDAEJ1gTmmsjVyWHsoqxAVQw4
09.hurto a personas	https://drive.google.com/file/d/1PNt5Bs0S7NyXSVBnaGzsAcnRVTCIasJR/view?usp=sharing	https://planeacionnacional-my.sharepoint.com/:x:/g/personal/lguevara_dnp_gov_co/EQhjvJHvkZBFhJjHEOi9IzgB_Kqas1Uf6cC0njCKhejYJg?e=oAZbrw'	1PNt5Bs0S7NyXSVBnaGzsAcnRVTCIasJR
10.rinas y peleas	https://drive.google.com/file/d/1YOImU45SLv_1sk_LCAEarixn-UU4uWHL/view?usp=sharing	https://planeacionnacional-my.sharepoint.com/:x:/g/personal/lguevara_dnp_gov_co/ERtznUBT48ZCtYIWLspapJIBh44ZEVPV6CsZ18tVwhuy1w?e=28DO5l'	1YOImU45SLv_1sk_LCAEarixn-UU4uWHL
11.extorsion	https://drive.google.com/file/d/1j9manYTW3qklSqvXFNrpndWtN7wCKSW7/view?usp=sharing	https://planeacionnacional-my.sharepoint.com/:x:/g/personal/lguevara_dnp_gov_co/Ede0ddCsZGJOp0DSG4ZCtQUBzRunbsdAlfk4McvAzO4N0A?e=SMSxGx'	1j9manYTW3qklSqvXFNrpndWtN7wCKSW7
12.percepcion del aporte a la seguridad	https://drive.google.com/file/d/1aPKxbgx0JWX3AtVIW6c-u3SVJrJbzzCt/view?usp=sharing	https://planeacionnacional-my.sharepoint.com/:x:/g/personal/lguevara_dnp_gov_co/EYTDSugQin1IldYLgbugOXsB1zcvGtHJjEKyMCpdf7r0EQ?e=AcKOFH'	1aPKxbgx0JWX3AtVIW6c-u3SVJrJbzzCt
13.pdcd clsinp	https://drive.google.com/file/d/1NT_EAkD7sM5yF6oVbL_12YUXfcKKxtsV/view?usp=sharing	https://planeacionnacional-my.sharepoint.com/:x:/g/personal/lguevara_dnp_gov_co/Ed4z9-fcrThOjw9qomXFB84BbyiJv_g2_AF-fQdsHQ0yBQ?e=QMJBNn'	1NT_EAkD7sM5yF6oVbL_12YUXfcKKxtsV
14.pdcd clconp	https://drive.google.com/file/d/1uO4dycdWnjkYLvvBm5efMgvJnZx_XbQT/view?usp=sharing	https://planeacionnacional-my.sharepoint.com/:x:/g/personal/lguevara_dnp_gov_co/Ed4z9-fcrThOjw9qomXFB84BbyiJv_g2_AF-fQdsHQ0yBQ?e=QMJBNn'	1uO4dycdWnjkYLvvBm5efMgvJnZx_XbQT
15.pdcd cc	https://drive.google.com/file/d/1kXN1stvi5htPEB2zkGjycKerRifcW3cs/view?usp=sharing	https://planeacionnacional-my.sharepoint.com/:x:/g/personal/lguevara_dnp_gov_co/EZgB9JfhtrxMh9oAv4HLWWwBouUT2JZKRJKEkN1z5F3Faw?e=oPaJXG'	1kXN1stvi5htPEB2zkGjycKerRifcW3cs
16.caracteristicas generales de las personas (cierre)	https://drive.google.com/file/d/1HQsVJ-ljlN6aJWc45FruJN4dVLj4wEI2/view?usp=sharing	https://planeacionnacional-my.sharepoint.com/:x:/g/personal/lguevara_dnp_gov_co/Ea4X-KKGmsJAvQ3daWonUjQBS0sR3MVUuwYkYp2Gz4-PGg?e=X6dnOk'	1HQsVJ-ljlN6aJWc45FruJN4dVLj4wEI2
